5893957;44293
10930369;48442
11587669;154810
3660393;194932
8773978;214742
10046441;268808
6569885;269212
11192845;279785
11041695;582556
2918552;613317
10083733;983560
5987839;1148316
4299086;1195604
5433174;1296295
363682;1384181
4530509;1497608
7081726;1542789
5373789;1544342
2360414;1607676
3985118;1715272
2418571;1949179
6841787;1953272
7991354;2065239
487245;2088165
11606520;2114197
4094903;2275992
3446900;2476484
11256720;2635960
2744528;2741605
636961;2831368
2828438;2834937
6747513;2956922
9300860;2968788
7989031;3038150
6528957;3060851
8422771;3437031
9014477;3840664
6608497;3907066
827288;4050903
394753;4240091
2219461;4380986
11042014;5077897
9335727;5128005
10920827;5161785
3898389;5251176
688753;5274196
5397770;5393020
2264096;5419732
4931042;5582073
8941600;5700437
2063822;5771846
6034632;5834502
584099;5904102
1275971;6127769
11456793;6436954
11353675;6619605
9759678;6668567
10633463;7425160
3813624;7447940
11012205;7449317
3685582;7469052
5729689;7472823
10301257;7526901
6363678;7543548
3747202;7614423
311211;7653879
3670226;8119670
2516427;8350505
7534669;8411144
6219600;8501848
9062420;8611029
5859556;8699639
7924133;8863560
3254335;9119031
8620813;9147188
7568395;9182632
11467787;9247828
1353107;9472969
9964382;9720388
1784288;9729701
5904016;9918612
5276528;9963028
2777598;10162611
2501080;10450151
11712171;10460988
2495570;10538164
3085092;10758037
4506449;10882428
7303026;11224536
2456711;11224553
7654429;11342355
5021371;11436358
5904887;11465333
2628796;11604744
2763776;11647925
281174;11811638
9680807;11825880
696915;11827190
10305250;11868392
1753074;11870630
